FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1536,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,12.6393,3.0394,3437725.5600,1357284.6482,327.9300,2.3248,12.6359,3.0402
1536,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,7.1469,1.5607,3170744.6000,669917.6690,327.5500,2.1604,7.1433,1.5599
1536,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,11.8406,6.6683,3253257.2500,847193.3519,2008.5800,3.0403,11.8327,6.6676
1536,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,1.8816,.3368,3339472.1200,686959.1388,465.7200,2.1729,1.8766,.3363
1536,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,4.6245,2.9583,3161900.0800,682284.0379,465.2000,2.2627,4.6201,2.9590
1536,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.2981,2.2711,3247250.2600,648170.5795,465.4000,2.4413,7.2930,2.2722
2048,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,13.8643,3.7212,3102168.6700,746905.7288,327.9000,2.1047,13.8608,3.7214
2048,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,2.6061,1.9061,3439525.1500,653496.1245,327.6300,2.0428,2.6011,1.9070
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.5983,4.5855,3288538.7700,937018.0202,2008.8000,3.1906,20.5888,4.5847
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.9868,1.5937,3303166.8900,739302.3814,465.1400,2.1726,7.9833,1.5936
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,2.6672,2.1447,3444437.1400,535311.0449,465.5600,2.3078,2.6616,2.1453
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,1.8442,.1187,3344998.9300,608440.1166,465.3300,2.6760,1.8394,.1183
3072,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,4.6655,.8415,3434621.5400,620604.1021,327.9400,2.1717,4.6603,.8417
3072,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,2.2992,.8534,3347735.9900,720235.5223,327.5900,2.0885,2.2935,.8539
3072,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.3434,4.3302,2957836.7600,819384.8878,2008.8800,2.6392,20.3331,4.3295
3072,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.8235,1.8972,3261667.6600,835504.8203,465.4500,2.3973,7.8199,1.8967
3072,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.9823,1.6104,3231615.9100,775634.8075,465.4200,2.3459,7.9777,1.6106
3072,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.7540,1.9958,3229972.1000,680100.6505,465.6100,2.1766,7.7493,1.9964
4096,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,5.9577,1.5602,3346037.3100,542703.1474,327.5000,2.1236,5.9525,1.5608
4096,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,6.6080,3.9542,3170178.7300,604255.6575,327.9700,2.0564,6.6027,3.9550
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,6.3098,2.5895,3307307.7400,649146.3074,2009.0400,3.1966,6.3020,2.5893
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.4442,2.0693,3226096.6900,765110.3312,465.5500,2.4672,7.4401,2.0682
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,3.5298,2.6518,3247833.6500,711195.7001,465.0800,2.6293,3.5238,2.6532
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,4.8636,3.2977,3230297.6400,695614.9635,465.4500,2.2907,4.8589,3.2979
